NGC4559,UGC 7766,Galaxy,Coma Berenices,9.9,,Andromeda,And
NGC5866,M 102,Galaxy,Draco,9.9,,Antlia,Ant
NGC3992,M 109,Galaxy,Ursa Major,9.8,,Apus,Aps
NGC4254,M 99,Galaxy,Coma Berenices,9.8,,Aquarius,Aqr
NGC4552,M 89,Galaxy,Virgo,9.8,,Aquila,Aql
NGC4579,M 58,Galaxy,Virgo,9.8,,Ara,Ara
NGC4621,M 59,Galaxy,Virgo,9.8,,Aries,Ari
NGC5005,UGC 8256,Galaxy,Canes Venatici,9.8,,Auriga,Aur
NGC3351,M 95,Galaxy,Leo,9.7,,Boötes,Boo
NGC4236,UGC 7306,Galaxy,Draco,9.7,,Caelum,Cae
NGC4303,M 61,Galaxy,Virgo,9.7,,Camelopardalis,Cam
NGC4565,UGC 7772,Galaxy,Coma Berenices,9.6,,Cancer,Cnc
NGC559,OCL 322,Open Cluster,Cassiopeia,9.5,,Canes Venatici,CVn
NGC3628,UGC 6350,Galaxy,Leo,9.5,Sarah's Galaxy,Canis Major,CMa
NGC4501,M 88,Galaxy,Coma Berenices,9.5,,Canis Minor,CMi
NGC4569,M 90,Galaxy,Virgo,9.5,,Capricornus,Cap
NGC7331,UGC 12113,Galaxy,Pegasus,9.5,,Carina,Car
NGC4321,M 100,Galaxy,Coma Berenices,9.4,,Cassiopeia,Cas
NGC4449,UGC 7592,Galaxy,Canes Venatici,9.4,,Centaurus,Cen
NGC6981,M 72,Globular Cluster,Aquarius,9.4,,Cepheus,Cep
NGC147,UGC 326;D3,Galaxy,Cassiopeia,9.3,,Cetus,Cet
NGC1097,ESO 416-20,Galaxy,Fornax,9.3,,Chamaeleon,Cha
NGC3379,M 105,Galaxy,Leo,9.3,,Circinus,Cir
NGC3623,M 65,Galaxy,Leo,9.3,Leo Triplet,Columba,Col
NGC4374,M 84,Galaxy,Virgo,9.3,,Coma Berenices,Com
NGC4631,UGC 7865,Galaxy,Canes Venatici,9.3,,Corona Australis,CrA
NGC4697,MCG 1-33-10,Galaxy,Virgo,9.3,,Corona Borealis,CrB
NGC6101,GCL 40,Globular Cluster,Apus,9.3,,Corvus,Crv
NGC185,UGC 396,Galaxy,Cassiopeia,9.2,,Crater,Crt
NGC628,M 74,Galaxy,Pisces,9.2,,Crux,Cru
NGC3115,MCG 1-26-18,Galaxy,Sextans,9.2,,Cygnus,Cyg
NGC3368,M 96,Galaxy,Leo,9.2,,Delphinus,Del
NGC4382,M 85,Galaxy,Coma Berenices,9.2,,Dorado,Dor
NGC4406,M 86,Galaxy,Virgo,9.2,,Draco,Dra
NGC300,ESO 295-20,Galaxy,Sculptor,9,,Equuleus,Equ
NGC1982,M 43,Nebula,Orion,9,De Mairan's Nebula,Eridanus,Eri
NGC3242,PK 261+32.1,Planetary Nebula,Hydra,9,,Fornax,For
NGC3627,M 66,Galaxy,Leo,9,Leo Triplet,Gemini,Gem
NGC4945,Dunlop 411,Galaxy,Centaurus,9,,Grus,Gru
NGC6543,PK 96+29.1,Planetary Nebula,Draco,9,,Hercules,Her
NGC6720,M 57,Planetary Nebula,Lyra,9,Ring Nebula,Horologium,Hor
NGC6744,ESO 104-42,Galaxy,Pavo,9,,Hydra,Hya
NGC6822,IC 4895,Galaxy,Sagittarius,9,,Hydrus,Hyi
NGC6994,M 73,Open Cluster,Aquarius,9,,Indus,Ind
NGC7662,PK 106-17.1,Planetary Nebula,Andromeda,9,,Lacerta,Lac
NGC247,ESO 540-22,Galaxy,Cetus,8.9,,Leo,Leo
NGC6934,GCL 117,Globular Cluster,Delphinus,8.9,,Leo Minor,LMi
NGC6946,UGC 11597,Galaxy,Cepheus,8.9,,Lepus,Lep
NGC1068,M 77,Galaxy,Cetus,8.8,,Libra,Lib
NGC4649,M 60,Galaxy,Virgo,8.8,,Lupus,Lup
NGC4486,M 87,Galaxy,Virgo,8.6,Virgo A,Lynx,Lyn
NGC5055,M 63,Galaxy,Canes Venatici,8.6,Sunflower Galaxy,,
NGC6864,M 75,Globular Cluster,Sagittarius,8.6,,,
NGC4826,M 64,Galaxy,Coma Berenices,8.5,Black Eye Galaxy,,
NGC1261,GCL 5,Globular Cluster,Horologium,8.4,,,
NGC1952,M 1,Nebula,Taurus,8.4,Crab Nebula,,
NGC2403,UGC 3918,Galaxy,Camelopardalis,8.4,,,
NGC3034,M 82,Galaxy,Ursa Major,8.4,Cigar Galaxy,,
NGC4472,M 49,Galaxy,Virgo,8.4,,,
NGC5194,M 51,Galaxy,Canes Venatici,8.4,Whirlpool Galaxy,,
NGC4258,M 106,Galaxy,Canes Venatici,8.3,,,
NGC4594,M 104,Galaxy,Virgo,8.3,Sombrero Galaxy,,
NGC6779,M 56,Globular Cluster,Lyra,8.3,,,
NGC6838,M 71,Globular Cluster,Sagitta,8.3,,,
NGC221,M 32,Galaxy,Andromeda,8.2,Le Gentil,,
NGC2070,ESO 57-EN6,Cluster Nebulosity,Dorado,8.2,,,
NGC4590,M 68,Globular Cluster,Hydra,8.2,,,
NGC4736,M 94,Galaxy,Canes Venatici,8.2,,,
NGC6352,Dunlop 417,Globular Cluster,Ara,8.2,,,
NGC188,OCL 309,Open Cluster,Cepheus,8.1,,,
NGC6171,M 107,Globular Cluster,Ophiuchus,8.1,Butterfly Cluster,,
NGC6681,M 70,Globular Cluster,Sagittarius,8.1,,,
NGC6853,M 27,Planetary Nebula,Vulpecula,8.1,Dumbbell Nebula,,
NGC55,Dunlop 507,Galaxy,Sculptor,8,,,
NGC205,M 110,Galaxy,Andromeda,8,,,
NGC246,PK 118-74.1,Planetary Nebula,Cetus,8,,,
NGC1904,M 79,Globular Cluster,Lepus,8,,,
NGC2068,M 78,Nebula,Orion,8,,,
NGC3132,PK 272+12.1,Planetary Nebula,Vela,8,,,
NGC3918,PK 294+4.1,Planetary Nebula,Centaurus,8,,,
NGC6694,M 26,Open Cluster,Scutum,8,,,
NGC7009,PK 37-34.1,Planetary Nebula,Aquarius,8,,,
NGC5823,OCL 936,Open Cluster,Circinus,7.9,,,
NGC6333,M 9,Globular Cluster,Ophiuchus,7.9,,,
NGC4372,GCL 19,Globular Cluster,Musca,7.8,,,
NGC5024,M 53,Globular Cluster,Coma Berenices,7.7,,,
NGC5457,M 101,Galaxy,Ursa Major,7.7,Pinwheel Galaxy,,
NGC6637,M 69,Globular Cluster,Sagittarius,7.7,,,
NGC6715,M 54,Globular Cluster,Sagittarius,7.7,,,
NGC2506,OCL 593,Open Cluster,Monoceros,7.6,,,
NGC5236,M 83,Galaxy,Hydra,7.6,Southern Pinwheel Galaxy,,
NGC5286,Dunlop 388,Globular Cluster,Centaurus,7.6,,,
NGC6402,M 14,Globular Cluster,Ophiuchus,7.6,,,
NGC6922,Caldwell 33,Nebula,Cygnus,7.5,Eastern Veil,,
NGC6960,Caldwell 34,Nebula,Cygnus,7.5,Western Veil,,
NGC7099,M 30,Globular Cluster,Capricornus,7.5,Jellyfish Cluster,,
NGC581,M 103,Open Cluster,Cassiopeia,7.4,,,
NGC4833,Lac I-4,Globular Cluster,Musca,7.4,,,
IC 4628,ESO 332-14,Nebula,Scorpius,7.30,,,
NGC1851,Dunlop 508,Globular Cluster,Columba,7.3,,,
NGC2360,OCL 589,Open Cluster,Canis Major,7.2,,,
NGC6093,M 80,Globular Cluster,Scorpius,7.2,Cetus A,,
NGC6273,M 19,Globular Cluster,Ophiuchus,7.2,,,
NGC253,ESO 474-29,Galaxy,Sculptor,7.1,,,
NGC663,OCL 333,Open Cluster,Cassiopeia,7.1,,,
NGC225,OCL 305,Open Cluster,Cassiopeia,7,,,
NGC281,IC 11,Cluster Nebulosity,Cassiopeia,7,,,
NGC1582,OCL 407,Open Cluster,Perseus,7,,,
NGC1807,OCL 462,Open Cluster,Taurus,7,,,
NGC1857,OCL 428,Open Cluster,Auriga,7,,,
NGC2396,OCL 579,Open Cluster,Puppis,7,,,
NGC2467,OCL 668,Cluster Nebulosity,Puppis,7,,,
NGC2571,OCL 701,Open Cluster,Puppis,7,,,
NGC5128,Dunlop 482,Galaxy,Centaurus,7,,,
NGC6169,OCL 984,Open Cluster,Norma,7,,,
NGC6595,IC 4700,Open Cluster,Sagittarius,7,,,
NGC6809,M 55,Globular Cluster,Sagittarius,7,,,
NGC7023,OCL 235,Cluster Nebulosity,Cepheus,7,,,
NGC7063,OCL 192,Open Cluster,Cygnus,7,,,
NGC2439,OCL 688,Open Cluster,Puppis,6.9,,,
NGC2682,M 67,Open Cluster,Cancer,6.9,Bode's Galaxy,,
NGC3031,M 81,Galaxy,,6.9,Bode's Galaxy,,
NGC4609,OCL 890,Open Cluster,Crux,6.9,,,
NGC6388,GCL 70,Globular Cluster,Scorpius,6.9,,,
NGC6613,M 18,Open Cluster,Sagittarius,6.9,,,
NGC6626,M 28,Globular Cluster,Sagittarius,6.9,,,
NGC6716,OCL 46,Open Cluster,Sagittarius,6.9,,,
NGC7654,M 52,Open Cluster,Cassiopeia,6.9,Scorpion Cluster,,
NGC2175,OCL 476,Open Cluster,Orion,6.8,,,
NGC3201,Dunlop 445,Globular Cluster,Vela,6.8,,,
NGC6811,OCL 185,Open Cluster,Cygnus,6.8,,,
NGC1027,OCL 357,Open Cluster,Cassiopeia,6.7,,,
NGC1342,OCL 401,Open Cluster,Perseus,6.7,,,
NGC2129,OCL 467,Open Cluster,Gemini,6.7,,,
NGC2343,OCL 565,Open Cluster,Monoceros,6.7,,,
NGC2423,OCL 592,Open Cluster,Puppis,6.7,,,
NGC6709,OCL 100,Open Cluster,Aquila,6.7,,,
NGC7209,OCL 215,Open Cluster,Lacerta,6.7,,,
NGC7789,OCL 269,Open Cluster,Cassiopeia,6.7,,,
NGC362,Dunlop 62,Globular Cluster,Tucana,6.6,,,
NGC1444,OCL 394,Open Cluster,Perseus,6.6,,,
NGC6218,M 12,Globular Cluster,Ophiuchus,6.6,,,
NGC6254,M 10,Globular Cluster,Ophiuchus,6.6,,,
NGC6266,M 62,Globular Cluster,Ophiuchus,6.6,,,
NGC6541,Dunlop 473,Globular Cluster,Corona Australis,6.6,,,
NGC6913,M 29,Open Cluster,Cygnus,6.6,,,
NGC129,OCL 294,Open Cluster,Cassiopeia,6.5,,,
NGC654,OCL 330,Open Cluster,Cassiopeia,6.5,,,
NGC2354,OCL 639,Open Cluster,Canis Major,6.5,,,
NGC2527,NGC 2520,Open Cluster,Puppis,6.5,,,
NGC2539,OCL 611,Open Cluster,Puppis,6.5,,,
NGC6341,M 92,Globular Cluster,Hercules,6.5,,,
NGC6604,OCL 56,Cluster Nebulosity,Serpens,6.5,,,
NGC7089,M 2,Globular Cluster,Aquarius,6.5,,,
NGC457,OCL 321,Open Cluster,Cassiopeia,6.4,,,
NGC1528,OCL 397,Open Cluster,Perseus,6.4,,,
NGC1647,OCL 457,Open Cluster,Taurus,6.4,,,
NGC1662,OCL 470,Open Cluster,Orion,6.4,,,
NGC1912,M 38,Open Cluster,Auriga,6.4,,,
NGC5272,M 3,Globular Cluster,Canes Venatici,6.4,,,
NGC6242,OCL 1001,Open Cluster,Scorpius,6.4,,,
NGC7078,M 15,Globular Cluster,Pegasus,6.4,Pegasus Cluster,,
NGC7243,OCL 221,Open Cluster,Lacerta,6.4,,,
NGC2546,OCL 726,Open Cluster,Puppis,6.3,,,
NGC6514,M 20,Cluster Nebulosity,Sagittarius,6.3,Trifid Nebula,,
NGC6940,OCL 141,Open Cluster,Vulpecula,6.3,,,
NGC1545,OCL 399,Open Cluster,Perseus,6.2,,,
NGC2447,M 93,Open Cluster,Puppis,6.2,,,
NGC2437,M 46,Open Cluster,Puppis,6.1,,,
NGC7160,OCL 236,Open Cluster,Cepheus,6.1,,,
NGC1746,OCL 452,Open Cluster,Taurus,6,,,
NGC1960,M 36,Open Cluster,Auriga,6,Pinwheel Cluster,,
NGC2301,OCL 540,Open Cluster,Monoceros,6,,,
NGC6322,OCL 1000,Open Cluster,Scorpius,6,,,
NGC6605,OCL 47,Open Cluster,Serpens,6,,,
NGC6611,M 16,Cluster Nebulosity,Serpens,6,Eagle Nebula,,
NGC6618,M 17,Cluster Nebulosity,Sagittarius,6,Omega Nebula,,
NGC6885,OCL 152,Open Cluster,Vulpecula,6,,,
NGC2169,OCL 481,Open Cluster,Orion,5.9,,,
NGC2323,M 50,Open Cluster,Monoceros,5.9,,,
NGC6121,M 4,Globular Cluster,Scorpius,5.9,,,
NGC6205,M 13,Globular Cluster,Hercules,5.9,Hercules Cluster,,
NGC6250,OCL 991,Open Cluster,Ara,5.9,,,
NGC6531,M 21,Open Cluster,Sagittarius,5.9,,,
NGC2477,OCL 720,Open Cluster,Puppis,5.8,,,
NGC2548,M 48,Open Cluster,Hydra,5.8,,,
NGC5904,M 5,Globular Cluster,Serpens,5.8,,,
NGC6124,Dunlop 514,Open Cluster,Scorpius,5.8,,,
NGC6523,M 8,Nebula,Sagittarius,5.8,Lagoon Nebula,,
NGC6705,M 11,Open Cluster,Scutum,5.8,,,
NGC598,M 33,Galaxy,Triangulum,5.7,Triangulum Galaxy,,
NGC752,OCL 363,Open Cluster,Andromeda,5.7,,,
NGC1502,OCL 383,Open Cluster,Camelopardalis,5.7,,,
NGC6397,Lac III-11,Globular Cluster,Ara,5.7,,,
NGC6416,OCL 1031,Open Cluster,Scorpius,5.7,,,
NGC2099,M 37,Open Cluster,Auriga,5.6,,,
NGC6067,OCL 953,Open Cluster,Norma,5.6,,,
NGC7686,OCL 251,Open Cluster,Andromeda,5.6,,,
NGC6383,NGC 6374,Cluster Nebulosity,Scorpius,5.5,,,
NGC6494,M 23,Open Cluster,Sagittarius,5.5,,,
NGC2281,OCL 446,Open Cluster,Auriga,5.4,,,
NGC6281,OCL 1003,Cluster Nebulosity,Scorpius,5.4,,,
NGC6752,Dunlop 295,Globular Cluster,Pavo,5.4,,,
NGC3766,OCL 860,Open Cluster,Centaurus,5.3,,,
NGC1039,M 34,Open Cluster,Perseus,5.2,,,
NGC6193,OCL 975,Open Cluster,Ara,5.2,,,
NGC6871,OCL 148,Open Cluster,Cygnus,5.2,,,
NGC2168,M 35,Open Cluster,Gemini,5.1,,,
NGC6025,OCL 939,Open Cluster,Triangulum Australe,5.1,,,
NGC6656,M 22,Globular Cluster,Sagittarius,5.1,Great Saggitarius Cluster,,
NGC2244,NGC 2239,Open Cluster,Monoceros,4.8,Rosetta Nebula,,
NGC1981,OCL 525,Open Cluster,Orion,4.6,,,
NGC6530,OCL 19,Open Cluster,Sagittarius,4.6,,,
NGC6633,OCL 90,Open Cluster,Ophiuchus,4.6,,,
NGC7092,M 39,Open Cluster,Cygnus,4.6,,,
IC 2944,Caldwell 100,Nebula,Centaurus,4.50,"Lambda Centauri Nebula,Running Chicken Nebula",,
NGC2287,M 41,Open Cluster,Canis Major,4.5,Little Beehive Cluster,,
NGC2422,M 47,Open Cluster,Puppis,4.4,,,
NGC4755,OCL 892,Open Cluster,Crux,4.2,,,
NGC6405,M 6,Open Cluster,Scorpius,4.2,,,
NGC2362,OCL 633,Cluster Nebulosity,Canis Major,4.1,,,
NGC104,47 Tucanae,Globular Cluster,Tucana,4,,,
NGC869,OCL 350,Open Cluster,Perseus,4,,,
NGC884,OCL 353,Open Cluster,Perseus,4,,,
NGC1976,M 42,Nebula,Orion,4,Orion Nebula,,
NGC2232,OCL 545,Open Cluster,Monoceros,3.9,,,
NGC2264,OCL 495,Cluster Nebulosity,Monoceros,3.9,,,
NGC2516,OCL 776,Open Cluster,Carina,3.8,,,
NGC5139,Omega Centauri,Globular Cluster,Centaurus,3.7,,,
NGC224,M 31,Galaxy,Andromeda,3.5,Andromeda Galaxy,,
NGC6475,M 7,Open Cluster,Scorpius,3.3,Ptolemy's Cluster,,
NGC2632,M 44,Open Cluster,Cancer,3.1,Beehive Cluster,,
NGC3532,OCL 839,Open Cluster,Carina,3,Pincushion Cluster,,
NGC2451,OCL 716,Open Cluster,Puppis,2.8,,,
NGC6231,Dunlop 520,Cluster Nebulosity,Scorpius,2.6,,,
M 24,IC 4715,Cluster Nebulosity,,2.50,,,
NGC292,ESO 29-21,Galaxy,,2.2,"Small Magellanic Cloud,SMC",,
NGC4039,ESO 572-48,Galaxy,Corvus,13,,,
NGC6302,PK 349+1.1,Planetary Nebula,Scorpius,13,Bug Nebula,,
NGC650,M 76,Planetary Nebula,Perseus,12,Little Dumbbell Nebula,,
NGC1275,3C84;UGC 2669,Galaxy,Perseus,11.6,,,
NGC4889,NGC 4884,Galaxy,Coma Berenices,11.4,,,
NGC3587,M 97,Planetary Nebula,Ursa Major,11.2,Owl Nebula,,
NGC40,PK 120+9.1,Planetary Nebula,Cepheus,11,,,
NGC7479,UGC 12343,Galaxy,Pegasus,11,,,
NGC3626,NGC 3632,Galaxy,Leo,10.9,,,
NGC4038,ESO 572-47,Galaxy,Corvus,10.7,,,
NGC7006,GCL 119,Globular Cluster,Delphinus,10.6,,,
NGC2419,GCL 12,Globular Cluster,Lynx,10.4,,,
NGC2775,UGC 4820,Galaxy,Cancer,10.3,Cigar Galaxy,,
NGC4244,UGC 7322,Galaxy,Canes Venatici,10.2,,,
NGC4548,M 91,Galaxy,Coma Berenices,10.2,,,
NGC5248,UGC 8616,Galaxy,Boötes,10.2,,,
NGC5694,GCL 29,Globular Cluster,Hydra,10.2,,,
M 40,WNC 4,Asterism,Ursa Major,10.11,,,
NGC3556,M 108,Galaxy,Ursa Major,10.1,,,
NGC4192,M 98,Galaxy,Coma Berenices,10.1,,,
NGC891,UGC 1831,Galaxy,Andromeda,10,,,
NGC2392,PK 197+17.1,Planetary Nebula,Gemini,10,,,
NGC2867,PK 278-5.1,Planetary Nebula,Carina,10,,,
NGC6253,OCL 972,Open Cluster,Ara,10,,,
NGC6826,PK 83+12.1,Planetary Nebula,Cygnus,10,,,
IC 2602,Caldwell 102,Open Cluster,Carina,1.90,Southern Pleiades,,
M 42,Cr 42,Asterism,Taurus,1.60,,,
NGC3372,ESO 128-13,Nebula,Carina,1,Carina Nebula,,
PGC 17223,,Galaxy,Dorado,0.90,"Large Magellanic Cloud,LMC",,
NGC6334,ESO 392-EN9,Nebula,Scorpius,,Cat's Paw Nebula,,
NGC6357,RCW 131,Nebula,Scorpius,,,,
HR 3572,A,Star,Cancer,4.26,Acubens,,
HR 4031,z,Star,Leo,3.43,Adhafera,,
HR 2618,e,Star,Canis Major,1.5,Adhara,,
HR 390,X,Star,Andromeda,4.87,Adhil,,
HR 1409,e,Star,Taurus,3.53,Ain,,
HR 7116,ν 1,Star,Sagittarius,4.86,Ainalrami,,
HR 7298,Eta,Star,Lyra,4.43,Aladfar,,
HD 168746,_,Star,Serpens,7.95,Alasia,,
HR 7264,pi,Star,Sagittarius,2.88,Albaldah,,
HR 7950,e,Star,Aquarius,3.78,Albali,,
HR 7417,B 1,Star,Cygnus,3.05,Albireo,,
HR 4623,A,Star,Corvus,4.02,Alchiba,,
HR 5062,80,Star,Ursa Major,3.99,Alcor,,
HR 1165,Eta,Star,Taurus,2.85,Alcyone,,
HR 1457,A,Star,Taurus,0.87,Aldebaran,,
HR 8162,A,Star,Cepheus,2.45,Alderamin,,
HR 8353,Gamma,Star,Grus,3,Aldhanab,,
HR 6396,z,Star,Draco,3.17,Aldhibah,,
HR 7852,e,Star,Delphinus,4.03,Aldulfin,,
HR 8238,B,Star,Cepheus,3.23,Alfirk,,
HR 7754,a2,Star,Capricornus,3.58,Algedi,,
HR 39,Gamma,Star,Pegasus,2.83,Algenib,,
HR 4057,Gamma 1,Star,Leo,2.61,Algieba,,
HR 936,B,Star,Perseus,2.09,Algol,,
HR 4757,d,Star,Corvus,2.94,Algorab,,
HR 2421,Gamma,Star,Gemini,1.93,Alhena,,
HR 4905,e,Star,Ursa Major,1.76,Alioth,,
HR 7949,e,Star,Cygnus,2.48,Aljanah,,
HR 5191,Eta,Star,Ursa Major,1.85,Alkaid,,
HR 5733,m1,Star,Boötes,4.31,Alkalurops,,
HR 3594,k,Star,Ursa Major,4.16,Alkaphrah,,
HR 8905,u,Star,Pegasus,4.42,Alkarab,,
HR 4287,A,Star,Crater,4.08,Alkes,,
HR 1605,e,Star,Auriga,3.03,Almaaz,,
HR 603,Gamma,Star,Andromeda,2.1,Almach,,
HR 8425,A,Star,Grus,1.73,Alnair,,
HR 6746,Gamma 2,Star,Sagittarius,2.98,Alnasl,,
HR 1903,e,Star,Orion,1.69,Alnilam,,
HR 1948,z,Star,Orion,1.74,Alnitak,,
HR 6084,s,Star,Scorpius,2.9,Alniyat,,
HR 3748,A,Star,Hydra,1.99,Alphard,,
HR 5793,A,Star,Corona Borealis,2.22,Alphecca,,
HR 15,A,Star,Andromeda,2.07,Alpheratz,,
HR 437,Eta,Star,Pisces,3.83,Alpherg,,
HR 6370,m,Star,Draco,5.55,Alrakis,,
HR 596,A,Star,Pisces,3.82,Alrescha,,
HR 6618,-,Star,Draco,5.75,Alruba,,
HR 7462,s,Star,Draco,4.67,Alsafi,,
HR 3275,31,Star,Lynx,4.25,Alsciaukat,,
HR 3485,d,Star,Vela,1.99,Alsephina,,
HR 7602,B,Star,Aquila,3.71,Alshain,,
HR 7773,v,Star,Capricornus,4.77,Alshat,,
HR 7557,A,Star,Aquila,0.76,Altair,,
HR 7310,d,Star,Draco,3.07,Altais,,
HR 3773,L,Star,Leo,4.32,Alterf,,
HR 2827,Eta,Star,Canis Major,2.45,Aludra,,
HR 4375,X,Star,Ursa Major,4.41,Alula Australis,,
HR 4377,v,Star,Ursa Major,3.49,Alula Borealis,,
HR 7141,Theta 1,Star,Serpens,4.62,Alya,,
HR 2484,X,Star,Gemini,3.35,Alzirr,,
HD 43197,_,Star,Canis Major,8.98,Amadioha,,
WASP-34,_,Star,Crater,10.3,Amansinaya,,
WASP-52,_,Star,Pegasus,12.2,Anadolu,,
HR 8499,Theta,Star,Aquarius,4.17,Ancha,,
HR 850,Tau 2,Star,Eridanus,4.76,Angetenar,,
